nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1508418629200729;177194474660_10155194172779661;62562538918_10155259243943919;29396596956_10154290945696957;111236060676_10154488570845677;118231518201711_1501780859846763;178913512122277_1582219521791662;170815382956921_1858326084205834;149845148361826_1446239142055747;38916537049_10154152762922050;193485802047_10155134560462048;536723559736207_1441032035972017
143694099006529_1508398222536103;177194474660_10155194102334661;62562538918_10155259133178919;29396596956_10154290944576957;111236060676_10154488254045677;118231518201711_1501558523202330;178913512122277_1581896541823960;170815382956921_1858293714209071;149845148361826_1446103475402647;38916537049_10154147552472050;193485802047_10155134539732048;536723559736207_1441032255971995
143694099006529_1508371865872072;177194474660_10155193777019661;62562538918_10155258945063919;29396596956_10154289299226957;111236060676_10154488077315677;118231518201711_1499708376720678;178913512122277_1581610901852524;170815382956921_1858080387563737;149845148361826_1446081668738161;38916537049_10154145745337050;193485802047_10155133622417048;536723559736207_1440862882655599
143694099006529_1508358455873413;177194474660_10155193810244661;62562538918_10155258826863919;29396596956_10154289855656957;111236060676_10154487912960677;118231518201711_1501534839871365;178913512122277_1581563561857258;170815382956921_1857997887571987;149845148361826_1446071248739203;38916537049_10154147007662050;193485802047_10155133612467048;536723559736207_1440802769328277
143694099006529_1508302599212332;177194474660_10155193739119661;62562538918_10155258724993919;29396596956_10154289281026957;111236060676_10154487462875677;118231518201711_1501456319879217;178913512122277_1581549231858691;170815382956921_1857902757581500;149845148361826_1446064388739889;38916537049_10154143140442050;193485802047_10155124661722048;536723559736207_1440617432680144
143694099006529_1508291475880111;177194474660_10155193725019661;62562538918_10155258696753919;29396596956_10154289224951957;111236060676_10154487267480677;118231518201711_1499739226717593;178913512122277_1581132695233678;170815382956921_1857791860925923;149845148361826_1445945898751738;38916537049_10154137657972050;193485802047_10155124659997048;536723559736207_1440315479377006
143694099006529_1508272919215300;177194474660_10155193704699661;62562538918_10155258671473919;29396596956_10154289222931957;111236060676_10154486939280677;118231518201711_1500528296638686;178913512122277_1580841301929484;170815382956921_1857771920927917;149845148361826_1446041328742195;38916537049_10154127349857050;193485802047_10155115937617048;536723559736207_1440106176064603
143694099006529_1508270269215565;177194474660_10155193674064661;62562538918_10155258645318919;29396596956_10154289188681957;111236060676_10154486886465677;118231518201711_1501458833212299;178913512122277_1580799765266971;170815382956921_1857691420935967;149845148361826_1446014282078233;38916537049_10154127345312050;193485802047_10155115935862048;536723559736207_1439683122773575
143694099006529_1508183395890919;177194474660_10155193651879661;62562538918_10155258592748919;29396596956_10154288693251957;111236060676_10154486826745677;118231518201711_1501446906546825;178913512122277_1580685891945025;170815382956921_1857576097614166;149845148361826_1445288472150814;38916537049_10154127340532050;193485802047_10155112991072048;536723559736207_1440014599407094
143694099006529_1508171652558760;177194474660_10155193494259661;62562538918_10155258512398919;29396596956_10154288611926957;111236060676_10154486525260677;118231518201711_1501418026549713;178913512122277_1580503558629925;170815382956921_1857078044330638;149845148361826_1445955448750783;38916537049_10154127334772050;193485802047_10155112989087048;536723559736207_1439679239440630
143694099006529_1508161079226484;177194474660_10155193505919661;62562538918_10155258462828919;29396596956_10154288668516957;111236060676_10154486474515677;118231518201711_1500575843300598;178913512122277_1580034532010161;170815382956921_1857162790988830;149845148361826_1445399858806342;38916537049_10154123127237050;193485802047_10155112669612048;536723559736207_1439593596115861
143694099006529_1508151669227425;177194474660_10155193446224661;62562538918_10155258383713919;29396596956_10154288528061957;111236060676_10154484756715677;118231518201711_1500707189954130;178913512122277_1579792935367654;170815382956921_1857080357663740;149845148361826_1445932855419709;38916537049_10154117788952050;193485802047_10155112661962048;536723559736207_1439294549479099
143694099006529_1508144142561511;177194474660_10155193462924661;62562538918_10155258293218919;29396596956_10154288487561957;111236060676_10154484643680677;118231518201711_1500632399961609;178913512122277_1579667448713536;170815382956921_1857023937669382;149845148361826_1445431962136465;38916537049_10154115053867050;193485802047_10155112159547048;536723559736207_1439287262813161
143694099006529_1508137152562210;177194474660_10155193429009661;62562538918_10155258213058919;29396596956_10154288389676957;111236060676_10154484609735677;118231518201711_1500508003307382;178913512122277_1579573725389575;170815382956921_1857152564323186;149845148361826_1445377705475224;38916537049_10154108870502050;193485802047_10155112150467048;536723559736207_1439169569491597
